form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,1,,,1,pof_woman_name,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,2,,,2,pof_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,3,,,3,pof_woman_hh_member_id,Woman's HH member ID,Woman's HH member ID,text,text,"{""render_as"":""input""}",,,,,,,,,,Woman's HH member ID
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,4,,,4,pof_woman_permanent_id,Woman's permanent ID,Woman's permanent ID,text,text,"{""render_as"":""input""}",,,,,,,,,,Woman's permanent ID
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,5,,,5,pof_pregnancy_id,Pregnancy ID,गर्भावस्था आईडी,text,text,"{""render_as"":""input""}",,,,,,,,,,Pregnancy ID
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,6,,,6,pof_interview_date,Date of interview,Date of interview,text,date,"{""render_as"":""text""} | inputType=date",Record date as mm/dd/yyyy.,,,,,"[""mm/dd/yyyy""]",,,,Date of interview mm/dd/yyyy
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,7,,,7,pof_delivery_date,Date of delivery,Date of delivery,text,date,"{""render_as"":""text""} | inputType=date",Record date as mm/dd/yyyy.,,,,,"[""mm/dd/yyyy""]",,,,Date of delivery mm/dd/yyyy
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,8,,,8,pof_delivery_time,Time of delivery,Time of delivery,text,time,"{""render_as"":""text""} | inputType=time",Record time as hh:mm.,,,,,"[""hh:mm""]",,,,Time of delivery hh:mm
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,9,,,9,pof_gestational_age_per_lmp_days_automatically_filled_lmp,Gestational age based on LMP,Gestational age based on LMP,text,time,"{""render_as"":""numeric_textbox""} | inputType=number | readOnly=True",Automatically filled based on LMP reported at pregnancy enrollment. Unit: days.,,,,,"[{""type"":""numeric"",""minValue"":0,""maxValue"":350}]",,True,,Gestational age based as per LMP |_|_| days automatically filled based on LMP reported at time of pregnancy enrollment
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,10,,,10,pof_gestational_age_per_1st_ultrasound_days,Gestational age as per 1st ultrasound,Gestational age as per 1st ultrasound,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number | readOnly=True",Automatically filled based on ultrasound form. Unit: days.,,,,,"[{""type"":""numeric"",""minValue"":0,""maxValue"":350}]",,True,,Gestational age as per 1st ultrasound |_|_| days automatically filled based on ultrasound form
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,11,,,11,pof_interview_take_place,Where did the interview take place?,Where did the interview take place?,radiogroup,select_one,"{""render_as"":""radio""}",Telephonic only for mothers delivering outside catchment area.,,1: At the woman's home; 2: At health facility; 3: Telephonic,1: At the woman's home; 2: At health facility; 3: Telephonic,,"[""single coded option""]",,,,Where did the interview take place? 1 At the woman's home 2 At health facility 3 Telephonic Only applicable for mothers delivering outside catchment area
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,12,,,12,pof_interviewer_present_during_delivery,Was the interviewer present during the delivery?,Was the interviewer present during the delivery?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No,1: Yes; 2: No,,"[""single coded option""]",,,,Was the interviewer present during the delivery? 1 Yes 2 No
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,13,,,13,pof_pregnancy_outcome_type,Type of outcome,Type of outcome,radiogroup,select_one,"{""render_as"":""radio""}","If induced abortion, stop here.",,1: Induced abortion; 2: Miscarriage(s)/stillbirth(s) only; 3: Live birth(s) only; 4: Combination of miscarriage(s)/stillbirth(s) and live birth(s),1: Induced abortion; 2: Miscarriage(s)/stillbirth(s) only; 3: Live birth(s) only; 4: Combination of miscarriage(s)/stillbirth(s) and live birth(s),,"[""single coded option""]",,,,Type of outcome 1 Induced abortion STOP HERE 2 miscarriage(s)/stillbirth(s) only 3 Live birth(s) only 4 Combination of miscarriage(s)/ stillbirths(s) AND live births(s)
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,14,,,14,pof_number_live_born_infants_fill_one_birth_assessment,Number of live born infants in this pregnancy,Number of live born infants in this pregnancy,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number",Fill one birth assessment form for each live born infant.,,,,,"[{""type"":""numeric"",""minValue"":0,""maxValue"":10}]",,,,Number of live born infants (in this pregnancy) |_|_| Fill one birth assessment form for each live born infant
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,15,,,15,pof_number_miscarriages_stillbirths_fill_one_birth_assessment_form,Number of miscarriages or stillbirths in this pregnancy,Number of miscarriages or stillbirths in this pregnancy,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number",Fill one birth assessment form for miscarriage/stillbirth with GA >= 20 weeks or 140 days.,,,,,"[{""type"":""numeric"",""minValue"":0,""maxValue"":10}]",,,,Number of miscarriages or stillbirths (in this pregnancy) |_|_| Fill one birth assessment form for miscarriage/stillbirth with GA>=20w or 140d
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,16,,,16,pof_during_final,"During the final 7 days of this pregnancy, did you experience vaginal bleeding?","During the final 7 days of this pregnancy, did you experience vaginal bleeding?",radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,"During the final 7 days of this pregnancy, did you experience vaginal bleeding? 1 Yes 2 No 9 Don't know"
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,17,,,17,pof_many_days_bleed_days,For how many days did you bleed?,For how many days did you bleed?,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number",Record 1-7 days; enter 9 for don't know.,,,,,"[{""type"":""numeric"",""minValue"":1,""maxValue"":9}] | [""Record 1-7 days; enter 9 for don't know.""]",,,,"For how many days did you bleed? |_| 1-7 days, 9=don't know"
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,18,,,18,pof_bleeding_accompanied_lower_abdominal_pain,Was the bleeding accompanied by lower abdominal pain?,Was the bleeding accompanied by lower abdominal pain?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Was the bleeding accompanied by lower abdominal pain? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,19,,,19,pof_about_vaginal_bleeding_during_final_days_pregnancy,How about vaginal bleeding during the final 8-28 days of this pregnancy?,गर्भावस्था के अंतिम 8-28 दिनों के दौरान योनि से रक्तस्राव के बारे में क्या ख़याल है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""8-28 days"",""single coded option""]",,,,How about vaginal bleeding during the final 8-28 days of this pregnancy? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,20,,,20,pof_many_days_bleed_days_2,For how many days did you bleed?,For how many days did you bleed?,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number",Record 8-28 days; enter 99 for don't know.,,,,,"[{""type"":""numeric"",""minValue"":8,""maxValue"":99}] | [""Record 8-28 days; enter 99 for don't know.""]",,,,"For how many days did you bleed? |_|_| 8-28 days, 99=don't know"
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,21,,,21,pof_bleeding_accompanied_lower_abdominal_pain_2,Was the bleeding accompanied by lower abdominal pain?,Was the bleeding accompanied by lower abdominal pain?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Was the bleeding accompanied by lower abdominal pain? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,22,,,22,pof_convulsions_during_final,Did you have convulsions during the final 7 days of this pregnancy?,Did you have convulsions during the final 7 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did you have convulsions during the final 7 days of this pregnancy? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,23,,,23,pof_about_convulsions_during_final_days_pregnancy,How about convulsions during the final 8-28 days of this pregnancy?,How about convulsions during the final 8-28 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""8-28 days"",""single coded option""]",,,,How about convulsions during the final 8-28 days of this pregnancy? 1 Yes
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,25,,,24,pof_high_fever_during_final,Did you have high fever during the final 7 days of this pregnancy?,Did you have high fever during the final 7 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did you have high fever during the final 7 days of this pregnancy? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,26,,,25,pof_about_high_fever_during_final_days_pregnancy,How about high fever during the final 8-28 days of this pregnancy?,गर्भावस्था के अंतिम 8-28 दिनों के दौरान तेज़ बुखार के बारे में क्या ख्याल है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""8-28 days"",""single coded option""]",,,,How about high fever during the final 8-28 days of this pregnancy? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,27,,,26,pof_swelling_hands_face_during_final,Did you have swelling of the hands or face during the final 7 days of this pregnancy?,Did you have swelling of the hands or face during the final 7 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did you have swelling of the hands or face during the final 7 days of this 1 Yes pregnancy? 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,28,,,27,pof_about_swelling_hands_face_during_final_days,How about swelling of the hands or face during the final 8-28 days of this pregnancy?,How about swelling of the hands or face during the final 8-28 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""8-28 days"",""single coded option""]",,,,How about swelling of the hands or face during the final 8-28 days of this 1 Yes pregnancy? 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,29,,,28,pof_severe_headache_during_final,Did you have severe headache during the final 7 days of this pregnancy?,Did you have severe headache during the final 7 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did you have severe headache during the final 7 days of this pregnancy? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,30,,,29,pof_about_sever_headache_during_final_days_pregnancy,How about sever headache during the final 8-28 days of this pregnancy?,इस गर्भावस्था के अंतिम 8-28 दिनों के दौरान गंभीर सिरदर्द के बारे में आपका क्या ख़याल है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""8-28 days"",""single coded option""]",,,,How about sever headache during the final 8-28 days of this pregnancy? 1 Yes 2 No 9 Don't know
POF,Pregnancy Outcome Form,13 MAY 2026,Refs/pretsing forms/pregnancy_outcome_form_v2026.05.13.pdf,1,Pregnancy outcome,,31,,,30,pof_accident_receive_injury_any_kind_during_final,Did you have an accident or receive an injury of any kind during the final 7 days of this pregnancy?,Did you have an accident or receive an injury of any kind during the final 7 days of this pregnancy?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did you have an accident or receive an injury of any kind during the final 7 days 1 Yes of this pregnancy? 2 No 9 Don't know
