form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,1,,,1,hrf_household_id,Household ID Automatically filled,घरेलू आईडी स्वचालित रूप से भरी गई,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Household ID Automatically filled
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,2,,,2,hrf_household_head_name,Name of household head,घर के मुखिया का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of household head
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,3,,,3,hrf_household_head_id,Household head ID Automatically filled,परिवार के मुखिया की आईडी स्वचालित रूप से भर जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Household head ID Automatically filled
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,4,,,4,hrf_interview_date,Date of interview mm/dd/yyyy,साक्षात्कार की तिथि mm/dd/yyyy,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""mm/dd/yyyy""]",,,,Date of interview mm/dd/yyyy
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,5,,,5,hrf_round_type,Type of round,Type of round,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Eligible woman; 2: Household without eligible women,1: योग्य स्त्री; 2: योग्य महिलाओं के बिना घर,,"[""single coded option""]",,,,Type of round 1 Eligible woman 2 Household without eligible women Skip to 15
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,6,,,6,hrf_eligible_woman_name,Name of eligible woman,पात्र महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of eligible woman
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,7,,,7,hrf_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,8,,,8,hrf_woman_hh_member_id,Woman's HH member ID,Woman's HH member ID,text,text,"{""render_as"":""input""}",,,,,,,,,,Woman's HH member ID
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,9,,,9,hrf_woman_permanent_id,Woman's permanent ID,Woman's permanent ID,text,text,"{""render_as"":""input""}",,,,,,,,,,Woman's permanent ID
HRF,Household Rounds Form,14 MAY 2026,Refs/pretsing forms/household_rounds_form_v2026.05.14.pdf,1,Main form,,10,,,10,hrf_current_marital_status,What is your current marital status?,What is your current marital status?,radiogroup,select_one,"{""render_as"":""radio""}",,,"1: currently married; 2: married, gauna not performed; 3: widowed; 4: divorced; 5: separated; 6: deserted; 7: never married; 8: live-in relationship","1: currently married; 2: married, gauna not performed; 3: widowed; 4: divorced; 5: separated; 6: deserted; 7: never married; 8: live-in relationship",,"[""single coded option""]",,,,"What is your current marital status? 1 currently married 2 married, gauna not performed 3 widowed Skip to 15 4 divorced Skip to 15 5 separated Skip to 15 6 deserted Skip to 15 7 never married Skip to 15 8 live-in relationship"
