form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,1,,,1,baf_woman_name,Name of woman,Name of woman,text,free_text,"{""render_as"":""text""} | inputType=text | readOnly=True",Automatically filled from Pregnancy Outcome form.,,,,,,,True,,Name of woman Automatically filled from pregnancy outcome form
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,2,,,2,baf_husband_name,Name of husband,Name of husband,text,free_text,"{""render_as"":""text""} | inputType=text | readOnly=True",Automatically filled from Pregnancy Outcome form.,,,,,,,True,,Name of husband Automatically filled from pregnancy outcome form
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,3,,,3,baf_woman_hh_member_id,Woman's HH member ID,Woman's HH member ID,text,text,"{""render_as"":""text""} | inputType=text | readOnly=True",Automatically filled.,,,,,,,True,,Woman's HH member ID automatically filled
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,4,,,4,baf_woman_permanent_id,Woman's permanent ID,Woman's permanent ID,text,text,"{""render_as"":""text""} | inputType=text | readOnly=True",Automatically filled.,,,,,,,True,,Woman's permanent ID automatically filled
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,5,,,5,baf_pregnancy_id,Pregnancy ID,Pregnancy ID,text,text,"{""render_as"":""text""} | inputType=text | readOnly=True",Automatically filled.,,,,,,,True,,Pregnancy ID automatically filled
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,6,,,6,baf_total_live_births_miscarriages_stillbirths_weeks,Total number of live births and miscarriages/stillbirths >=20 weeks in this pregnancy,Total number of live births and miscarriages/stillbirths >=20 weeks in this pregnancy,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number | readOnly=True",Automatically filled from Pregnancy Outcome form.,,,,,"[{""type"":""numeric"",""minValue"":0,""maxValue"":99}]",,True,,Total # of live births and miscarriages/stillbirths>=20 weeks (this pregnancy) |_|_| Automatically filled from pregnancy outcome form
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,7,,,7,baf_birth_rank,Birth rank in this pregnancy,Birth rank in this pregnancy,text,integer,"{""render_as"":""numeric_textbox""} | inputType=number",One separate Birth Assessment form should be filled for each child.,,,,,"[{""type"":""numeric"",""minValue"":0,""maxValue"":99}]",,,,Birth rank (this pregnancy) |_|_| One separate birth assessement form should be fill of each child
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,8,,,8,baf_birth_id,Birth ID,Birth ID,text,integer,"{""render_as"":""text""} | inputType=text",Automatically created based on birth rank.,,,,,"[{""type"":""numeric""}]",,,,Birth ID Automatically created based on birth rank
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,9,,,9,baf_interview_date,Date of interview,Date of interview,text,date,"{""render_as"":""text""} | inputType=date | readOnly=True",Automatically filled from Pregnancy Outcome form. Format: mm/dd/yyyy.,,,,,"[""mm/dd/yyyy""]",,True,,Date of interview mm/dd/yyyy Automatically filled from pregnancy outcome form
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,10,,,10,baf_interview_take_place,Where did the interview take place?,Where did the interview take place?,radiogroup,select_one,"{""render_as"":""radio""} | readOnly=True",Automatically filled from Pregnancy Outcome form.,,1: At the woman's home; 2: At health facility; 3: Telephonic,1: At the woman's home; 2: At health facility; 3: Telephonic,,"[""single coded option""]",,True,,Where did the interview take place? 1 At the woman's home Automatically filled from pregnancy outcome form 2 At health facility 3 Telephonic
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,11,,,11,baf_interviewer_present_during_delivery,Was the interviewer present during the delivery?,Was the interviewer present during the delivery?,radiogroup,select_one,"{""render_as"":""radio""} | readOnly=True",Automatically filled from Pregnancy Outcome form.,,1: Yes; 2: No,1: Yes; 2: No,,"[""single coded option""]",,True,,Was the interviewer present during the delivery? 1 Yes Automatically filled from pregnancy outcome form 2 No
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,12,,,12,baf_birth_date,Date of birth,Date of birth,text,date,"{""render_as"":""text""} | inputType=date",Format: dd/mm/yyyy.,,,,,"[""dd/mm/yyyy""]",,,,Date of birth dd/mm/yyyy
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,13,,,13,baf_birth_time,Time of birth,Time of birth,text,time,"{""render_as"":""text""} | inputType=time",Format: HH:MM.,,,,,"[""HH:MM""]",,,,Time of birth HH:MM
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,14,,,14,baf_child_sex,Sex of child,Sex of child,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Male; 2: Female; 3: Undetermined,1: पुरुष; 2: महिला; 3: अनिर्धारित,,"[""single coded option""]",,,,Sex of child 1 Male 2 Female 3 Undetermined
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,15,,,15,baf_child_vital_status,Vital status of baby at time of interview,Vital status of baby at time of interview,radiogroup,select_one,"{""render_as"":""radio""}","If alive, skip to 22. If dead, fill Stillbirth form or Child Death form depending on signs of life in Q16-Q21.",,1: Alive; 2: Dead,1: Alive; 2: Dead,,"[""single coded option""]",,,,Vital status of baby at time of interview 1 Alive SKIP to 22 2 Dead Fill stillbirth form or child death form depending on signs of life (Q16- 21)
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,16,,,16,baf_vital_status_infant_birth,What was the vital status of the infant at birth?,What was the vital status of the infant at birth?,radiogroup,select_one,"{""render_as"":""radio""}",Use interviewer's direct observation if present during delivery (Q11=1); otherwise use woman's interview.,,1: Live birth; 2: Deadborn foetus (stillbirth or miscarriage),1: Live birth; 2: Deadborn foetus (stillbirth or miscarriage),,"[""single coded option""]",,,,What was the vital status of the infant at birth? 1 Live birth Based on interviewer's direct observation if present during delivery 2 Deadborn foetus (stillbirth or miscarriage) (Q11=1); else based on woman's interview
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,17,,,17,baf_baby_ever_cry_after_being_delivered,Did the baby ever cry after being delivered?,Did the baby ever cry after being delivered?,radiogroup,select_one,"{""render_as"":""radio""}",Use interviewer's direct observation if present during delivery (Q11=1); otherwise use woman's interview.,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did the baby ever cry after being delivered? 1 Yes Based on interviewer's direct observation if present during delivery 2 No (Q11=1); else based on woman's interview 9 Don't know
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,18,,,18,baf_baby_ever_move_after_being_delivered,Did the baby ever move after being delivered?,Did the baby ever move after being delivered?,radiogroup,select_one,"{""render_as"":""radio""}",Use interviewer's direct observation if present during delivery (Q11=1); otherwise use woman's interview.,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did the baby ever move after being delivered? 1 Yes Based on interviewer's direct observation if present during delivery 2 No (Q11=1); else based on woman's interview 9 Don't know
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,19,,,19,baf_baby_ever_breathe_after_being_delivered,Did the baby ever breathe after being delivered?,Did the baby ever breathe after being delivered?,radiogroup,select_one,"{""render_as"":""radio""}",Use interviewer's direct observation if present during delivery (Q11=1); otherwise use woman's interview.,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did the baby ever breathe after being delivered? 1 Yes Based on interviewer's direct observation if present during delivery 2 No (Q11=1); else based on woman's interview 9 Don't know
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,20,,,20,baf_baby_show_any_other_signs_life_such_beating,"Did the baby show any other signs of life, such as beating of the heart or pulsation of the umbilical cord, after being delivered?","Did the baby show any other signs of life, such as beating of the heart or pulsation of the umbilical cord, after being delivered?",radiogroup,select_one,"{""render_as"":""radio""}",Use interviewer's direct observation if present during delivery (Q11=1); otherwise use woman's interview.,,1: Yes; 2: No; 9: Don't know,1: Yes; 2: No; 9: Don't know,,"[""single coded option""]",,,,Did the baby show any other signs of life (such as beating of the heart or pulsation 1 Yes Based on interviewer's direct observation if present during delivery of umbilical cord) after being delivered? 2 No (Q11=1); else based on woman's interview 9 Don't know
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,21,,,21,baf_clinical_determination_stillbirth_vs_neonatal_death_classification_informati,Clinical determination of stillbirth vs neonatal death classification,Clinical determination of stillbirth vs neonatal death classification,radiogroup,select_one,"{""render_as"":""radio""}","Based on information from person who assisted at delivery, if available; otherwise extracted from medical records for institutional deliveries.",,1: Stillbirth; 2: Neonatal death,1: Stillbirth; 2: Neonatal death,,"[""single coded option""]",,,,Clinical determination of stillbirth vs neonatal death classification Based on information reported by person who assisted at the delivery if available (institutional and home deliveries); or else extracted from 1 Stillbirth medical records (institutional deliveries only) 2 Neonatal death
BAF,Birth Assessment Form,13 MAY 2026,Refs/pretsing forms/birth_assessment_form_v2026.05.13.pdf,1,Birth assessment,,22,,,22,baf_large_baby_birth,How large was the baby at birth?,How large was the baby at birth?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Very large; 2: Larger than average; 3: Average; 4: Smaller than average; 5: Very small; 9: Don't know,1: Very large; 2: Larger than average; 3: Average; 4: Smaller than average; 5: Very small; 9: Don't know,,"[""single coded option""]",,,,How large was the baby at birth? 1 very large 2 larger than average
