form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,1,,,1,pff_woman_name,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,2,,,2,pff_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,3,,,3,pff_woman_hh_member_id,Woman's HH member ID,Woman's HH member ID,text,text,"{""render_as"":""input""}",,,,,,,,,,Woman's HH member ID
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,4,,,4,pff_woman_permanent_id,Woman's permanent ID,Woman's permanent ID,text,text,"{""render_as"":""input""}",,,,,,,,,,Woman's permanent ID
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,5,,,5,pff_pregnancy_id,Pregnancy ID,गर्भावस्था आईडी,text,text,"{""render_as"":""input""}",,,,,,,,,,Pregnancy ID
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,6,,,6,pff_visit_date,Date of visit dd/mm/yyyy,यात्रा की तारीख dd/mm/yyyy,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""dd/mm/yyyy""]",,,,Date of visit dd/mm/yyyy
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,7,,,7,pff_visit_type,Type of visit,Type of visit,radiogroup,select_one,"{""render_as"":""radio""}",,,1: In-person [use short form]; 2: Telephonic [use long form],1: व्यक्तिगत रूप से [संक्षिप्त रूप का प्रयोग करें]; 2: Telephonic [use long form],,"[""single coded option""]",,,,Type of visit 1 In-person [use short form] 2 Telephonic [use long form]
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,8,,,8,pff_vital_migration_status_woman,Vital/migration status of woman,Vital/migration status of woman,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Alive; 2: Died; 3: Permanently moved,1: जीवित; 2: मृत; 3: स्थायी रूप से स्थानांतरित किया गया,,"[""single coded option""]",,,,Vital/migration status of woman 1 Alive 2 Died STOP 3 Permanently moved STOP
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,9,,,9,pff_staying_moment,Where are you staying at this moment?,Where are you staying at this moment?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Own home; 2: Parental home (give address); 3: Other (give address),1: खुद का घर; 2: पैतृक घर (पता दें); 3: अन्य (पता दें),,"[""single coded option""]",,,,Where are you staying at this moment? 1 Own home 2 Parental home (give address) 3 Other (give address)
PFF,Pregnancy Follow-Up Form,11 MAY 2026,Refs/pretsing forms/pregnancy_followup_form_v2026.05.11.pdf,1,Pregnancy follow-up,,10,,,10,pff_pregnancy_status,Pregnancy status,गर्भावस्था की स्थिति,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Still pregnant; 2: No pregnant anymore Fill pregnancy outcome form,"1: Still pregnant; 2: अब कोई गर्भवती नहीं, गर्भावस्था परिणाम फॉर्म भरें",,"[""single coded option""]",,,,Pregnancy status 1 Still pregnant 2 No pregnant anymore Fill pregnancy outcome form
