form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,1,,,1,pef_pregnancy_information_source,Source of pregnancy information,Source of pregnancy information,radiogroup,select_one,"{""render_as"":""radio""} | readOnly=True",Options 1 and 2 are auto-filled from the corresponding source where available.,,1: Baseline woman's questionnaire; 2: Household round; 3: Community health worker (ASHA); 4: Register,1: Baseline woman's questionnaire; 2: Household round; 3: Community health worker (ASHA); 4: Register,,"[""single coded option""]",,True,,Source of pregnancy information 1 Baseline woman's questionnaire auto filled based on woman's questionnaire 2 Household round auto filled based on household round 3 Community health worker (ASHA) 4 Register
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,2,,,2,pef_woman_name,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,3,,,3,pef_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,4,,,4,pef_woman_hh_member_id,Woman's HH member ID,Woman's HH member ID,text,text,"{""render_as"":""text""} | inputType=text",As defined in household questionnaire and woman questionnaire.,,,,,,,,,Woman's HH member ID As defined in household questionnaire and woman.s questionnaire
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,5,,,5,pef_woman_permanent_id,Woman's permanent ID,Woman's permanent ID,text,text,"{""render_as"":""text""} | inputType=text",Attributed randomly when determined eligible for tracking.,,,,,,,,,Woman's permanent ID Attributed randomly when determined as eligible for tracking
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,6,,,6,pef_enrollment_date,Date of enrollment,Date of enrollment,text,date,"{""render_as"":""text""} | inputType=date",Record date as dd/mm/yyyy.,,,,,,,,,Date of enrollment dd/mm/yyy
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,7,,,7,pef_pregnancy_confirmed,Is the pregnancy confirmed?,Is the pregnancy confirmed?,radiogroup,select_one,"{""render_as"":""radio""}","If yes, skip to 9. If no: Bareilly only, conduct on-spot UPT; other sites skip to 12.",,1: Yes; 2: No,1: Yes; 2: No,,"[""single coded option""]",,,,Is the pregnancy confirmed? 1 Yes SKIP TO 9 2 No Conduct on the spot UPT (Bareilly only); Other sites: SKIP TO 12
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,8,,,8,pef_spot_upt_result,On-spot UPT result,On-spot UPT result,radiogroup,select_one,"{""render_as"":""radio""}","If positive, skip to 10. If negative, stop.",,1: Positive; 2: Negative; 3: Refusal,1: Positive; 2: Negative; 3: Refusal,{pef_pregnancy_confirmed} = 2,"[""single coded option""]",,,,On spot UPT result 1 Positive SKIP TO 10 2 Negative STOP 3 Refusal
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,9,,,9,pef_pregnancy_confirmed_upt,Was the pregnancy confirmed with a UPT?,Was the pregnancy confirmed with a UPT?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No,1: Yes; 2: No,,"[""single coded option""]",,,,Was the pregnancy confirmed with a UPT ? 1 Yes 2 No
PEF,Pregnancy Enrollment Form,11 MAY 2026,Refs/pretsing forms/pregnancy_enrollment_form_v2026.05.11.pdf,1,Main form,,10,,,10,pef_pregnancy_rank_since_baseline,Pregnancy rank since baseline,बेसलाइन से गर्भावस्था रैंक,radiogroup,select_one,"{""render_as"":""radio"",""readonly"":true} | readOnly=True",,,1: 1st observed pregnancy since study baseline; 2: 2nd observed pregnancy since study baseline; 3: 3rd observed pregnancy since study baseline,1: अध्ययन बेसलाइन के बाद से पहली बार गर्भावस्था देखी गई; 2: अध्ययन बेसलाइन के बाद से दूसरी बार गर्भावस्था देखी गई; 3: अध्ययन बेसलाइन के बाद से तीसरी बार गर्भावस्था देखी गई,,"[""single coded option""]",,True,,Pregnancy rank since baseline 1 1st observed pregnancy since study baseline Automatically filled 2 2nd observed pregnancy since study baseline 3 3rd observed pregnancy since study baseline
