form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,1,,,1,sbf_woman_name,Name of woman Automatically filled from pregnancy outcome form,गर्भावस्था परिणाम फॉर्म से महिला का नाम स्वतः भर जाता है,text,free_text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Name of woman Automatically filled from pregnancy outcome form
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,2,,,2,sbf_husband_name,Name of husband Automatically filled from pregnancy outcome form,गर्भावस्था परिणाम फॉर्म से पति का नाम स्वतः भर जाता है,text,free_text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Name of husband Automatically filled from pregnancy outcome form
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,3,,,3,sbf_woman_hh_member_id,Woman's HH member ID automatically filled,Woman's HH member ID automatically filled,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Woman's HH member ID automatically filled
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,4,,,4,sbf_woman_permanent_id,Woman's permanent ID automatically filled,Woman's permanent ID automatically filled,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Woman's permanent ID automatically filled
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,5,,,5,sbf_pregnancy_id,Pregnancy ID automatically filled,गर्भावस्था आईडी स्वतः भर जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Pregnancy ID automatically filled
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,6,,,6,sbf_birth_id,Birth ID Automatically filled from birth assessment form,जन्म मूल्यांकन फॉर्म से जन्म आईडी स्वचालित रूप से भरी जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Birth ID Automatically filled from birth assessment form
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,7,,,7,sbf_interview_date,Date form was completed mm/dd/yyyy Automatically filled from pregnancy outcome form,दिनांक फॉर्म पूरा हो गया mm/dd/yyyy गर्भावस्था परिणाम फॉर्म से स्वचालित रूप से भरा गया,text,date,"{""render_as"":""date_picker"",""readonly"":true} | inputType=date | readOnly=True",,,,,,"[""mm/dd/yyyy""]",,True,,Date form was completed mm/dd/yyyy Automatically filled from pregnancy outcome form
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,8,,,8,sbf_interview_take_place,Where did the interview take place?,Where did the interview take place?,radiogroup,select_one,"{""render_as"":""radio"",""readonly"":true} | readOnly=True",,,1: At the woman's home from pregnancy outcome form; 2: At health facility; 3: Telephonic,1: महिला के घर पर ही गर्भावस्था का परिणाम फॉर्म तैयार किया जाता है; 2: स्वास्थ्य सुविधा में; 3: टेलीफोन द्वारा,,"[""single coded option""]",,True,,Where did the interview take place? 1 At the woman's home Automatically filled from pregnancy outcome form 2 At health facility 3 Telephonic
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,9,,,9,sbf_interviewer_present_during_delivery,Was the interviewer present during the delivery?,Was the interviewer present during the delivery?,radiogroup,select_one,"{""render_as"":""radio"",""readonly"":true} | readOnly=True",,,1: Yes from pregnancy outcome form; 2: No,1: Yes from pregnancy outcome form; 2: नहीं,,"[""single coded option""]",,True,,Was the interviewer present during the delivery? 1 Yes Automatically filled from pregnancy outcome form 2 No
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,10,,,10,sbf_medical_card_birth_available,Is the medical card for this birth available?,क्या इस जन्म के लिए मेडिकल कार्ड उपलब्ध है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No,1: हाँ; 2: नहीं,,"[""single coded option""]",,,,Is the medical card for this birth available? 1 Yes 2 No SKIP to 13
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,11,,,11,sbf_stillbirth_determined_antepartum_intrapartum_medical_card,Was the stillbirth determined as antepartum or intrapartum in the medical card?,Was the stillbirth determined as antepartum or intrapartum in the medical card?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Antepartum; 2: Intrapartum; 3: Not indicated on medical card; 4: Medical card indicates neonatal death,1: प्रसव पूर्व; 2: अंतर्गर्भाशयी; 3: मेडिकल कार्ड पर अंकित नहीं है; 4: मेडिकल कार्ड से नवजात की मौत का पता चलता है,{sbf_medical_card_birth_available} = 1,"[""single coded option""]",,,,Was the stillbirth determined as antepartum or intrapartum in the medical card? 1 Antepartum 2 Intrapartum SKIP to 16 3 Not indicated on medical card SKIP to 13 4 Medical card indicates neonatal death SKIP to 13
SBF,Stillbirth Form,13 MAY 2026,Refs/pretsing forms/stillbirth_form_v2026.05.13.pdf,1,Main form,,12,,,12,sbf_information_used_make_determination,What information was used to make this determination?,What information was used to make this determination?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Absence of fetal heart sounds; 2: Ultrasound confirmation; 3: Signs of maceration at time of delivery; 4: Not indicated on medical card,1: भ्रूण की हृदय ध्वनि का अभाव; 2: Ultrasound confirmation; 3: Signs of maceration at time of delivery; 4: मेडिकल कार्ड पर अंकित नहीं है,{sbf_stillbirth_determined_antepartum_intrapartum_medical_card} = 1,"[""single coded option""]",,,,What information was used to make this determination? 1 Absence of fetal heart sounds SKIP to 16 2 Ultrasound confirmation SKIP to 16 3 Signs of maceration at time of delivery SKIP to 16 4 Not indicated on medical card
