form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,1,,,1,wq_site_id,What is the site of residence?,,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Bareilley; 2: Ballabgarh; 3: Belgavi; 4: Chennai,1: बरेली; 2: बल्लभगढ़; 3: बेलगावी; 4: चेन्नई,,,,,,What is the site of residence? 1 Bareilley 2 Ballabgarh 3 Belgavi 4 Chennai
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,2,,,2,wq_residence_area_type,Is the household in an urban or rural area?,क्या परिवार शहरी या ग्रामीण क्षेत्र में है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Urban; 2: Rural,1: शहरी; 2: ग्रामीण,,,,,,Is the household in an urban or rural area? 1 Urban 2 Rural
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,3,,,3,wq_locality_code,"What is the name and code of the hamlet,",,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Sunped Adapt list for each site village of colony?; 2: Sagarpur; 3: Pehladpur; 4: Deegh,1: Sunped Adapt list for each site village of colony?; 2: Sagarpur; 3: पहलादपुर; 4: डीघ,,,,,,"What is the name and code of the hamlet, 1 Sunped Adapt list for each site village of colony? 2 Sagarpur 3 Pehladpur 4 Deegh"
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,4,,,4,wq_interview_date,Date of interview,साक्षात्कार की तिथि,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,,,,,Date of interview
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,5,,,5,wq_consent_study_provide_pis_explain_study_adult,Consent for study Provide PIS and explain study to adult,अध्ययन के लिए सहमति पीआईएस प्रदान करें और वयस्क को अध्ययन समझाएं,radiogroup,select_one,"{""render_as"":""radio""}",,,"1: Yes, consent to participate in study member(s) of the household, mark whether houshold level consent provided; 2: No, do not consent to participate in study End interview","1: Yes, consent to participate in study member(s) of the household, mark whether houshold level consent provided; 2: नहीं, अध्ययन समाप्ति साक्षात्कार में भाग लेने के लिए सहमति न दें",,,,,,"Consent for study Provide PIS and explain study to adult 1 Yes, consent to participate in study member(s) of the household, mark whether houshold level consent provided 2 No, do not consent to participate in study End interview"
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,6,,,6,wq_result_interview,Result of Interview,,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Completed; 2: No household member at home or no competent respondent at home at time of visit; 3: Entire household absent for extended period of time; 4: Postponed; 5: Refused; 6: Dwelling vacant or address not a dwelling; 7: Dweling destroyed; 8: Dwelling not found); 9: Other (specify),1: पूर्ण; 2: मुलाक़ात के समय घर पर कोई घरेलू सदस्य नहीं या घर पर कोई सक्षम प्रतिवादी नहीं; 3: पूरा परिवार लंबे समय तक अनुपस्थित रहा; 4: स्थगित; 5: Refused; 6: आवास खाली है अथवा पता आवास नहीं है; 7: आवास नष्ट हो गया; 8: आवास नहीं मिला); 9: अन्य (बताएँ),,,,,,Result of Interview 1 Completed 2 No household member at home or no competent respondent at home at time of visit 3 Entire household absent for extended period of time 4 Postponed 5 Refused 6 Dwelling vacant or address not a dwelling 7 Dweling destroyed 8 Dwelling not found) 9 Other (specify)
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,6.1,,,6_9_specify,wq_result_interview_other_specify,Specify other response,अन्य उत्तर निर्दिष्ट करें,text,text_other_specify,"{""render_as"":""input""}",Complete only if Other (specify) is selected.,,,,{wq_result_interview} = 9,"[{""type"":""text"",""minLength"":1,""maxLength"":120,""text"":{""default"":""Specify the other response."",""hi"":""अन्य उत्तर निर्दिष्ट करें।"",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}]",,,True,Other (specify)
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,7,,,7,wq_language_questionnaire,Language of questionnaire,प्रश्नावली की भाषा,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Hindi Check if list is OK; 2: Kannada; 3: Marathi; 4: Tamil; 5: Telugu; 6: Urdu; 7: English,1: जांचें कि सूची ठीक है या नहीं; 2: कन्नडा; 3: मराठी; 4: Tamil; 5: Telugu; 6: Urdu; 7: अंग्रेज़ी,,,,,,Language of questionnaire 1 Hindi Check if list is OK 2 Kannada 3 Marathi 4 Tamil 5 Telugu 6 Urdu 7 English
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,8,,,8,wq_enter_structure_id_woman,Enter structure based ID for woman,महिला के लिए संरचना आधारित आईडी दर्ज करें,text,text,"{""render_as"":""input""}",,,,,,,,,,Enter structure based ID for woman
WQ,Baseline Woman's Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_woman_s_questionnaire_v2026.05.09.pdf,1,01-Respondent's Background,,9,,,9,wq_name_woman,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
