form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,1,,,1,uf_woman_name,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,2,,,2,uf_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,3,,,3,uf_pregnancy_id,Pregnancy ID,गर्भावस्था आईडी,text,text,"{""render_as"":""input""}",,,,,,,,,,Pregnancy ID
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,4,,,4,uf_form_completed_date,Date form was completed dd/mm/yyyy,दिनांक फॉर्म पूरा हो गया dd/mm/yyyy,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""dd/mm/yyyy""]",,,,Date form was completed dd/mm/yyyy
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,5,,,5,uf_ultrasound_report_access_location,Where was the ultrasound report accessed?,Where was the ultrasound report accessed?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: At the woman's home; 2: At health facility; 3: Other (specify),1: महिला के घर पर; 2: स्वास्थ्य सुविधा में; 3: अन्य (बताएँ),,"[""single coded option""]",,,,Where was the ultrasound report accessed? 1 At the woman's home 2 At health facility 3________ Other (specify)
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,5.1,,,5_3_specify,uf_ultrasound_report_access_location_other_specify,Specify other response,अन्य उत्तर निर्दिष्ट करें,text,text_other_specify,"{""render_as"":""input""}",Complete only if Other (specify) is selected.,,,,{uf_ultrasound_report_access_location} = 3,"[{""type"":""text"",""minLength"":1,""maxLength"":120,""text"":{""default"":""Specify the other response."",""hi"":""अन्य उत्तर निर्दिष्ट करें।"",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}]",,,True,Other (specify)
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,6,,,6,uf_ultrasound_facility,Where was the ultrasound performed? ____________ Please fill name and address of facility,Where was the ultrasound performed? ____________ Please fill name and address of facility,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Where was the ultrasound performed? ____________ Please fill name and address of facility
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,7,,,7,uf_ultrasound_date,Date ultrasound was performed dd/mm/yyyy,अल्ट्रासाउंड दिनांक dd/mm/yyyy किया गया,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""dd/mm/yyyy""]",,,,Date ultrasound was performed dd/mm/yyyy
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,8,,,8,uf_pregnancy_being_confirmed_ultrasound,Has this pregnancy being confirmed by this ultrasound?,क्या इस अल्ट्रासाउंड से गर्भावस्था की पुष्टि हो रही है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Yes; 2: No,1: हाँ; 2: नहीं,,"[""single coded option""]",,,,Has this pregnancy being confirmed by this ultrasound? 1 Yes 2 No Close pregnancy record
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,9,,,9,uf_ultrasound_type,Type of ultrasound,Type of ultrasound,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Transvaginal; 2: Transabdominal; 3: not indicated in report,1: Transvaginal; 2: Transabdominal; 3: not indicated in report,,"[""single coded option""]",,,,Type of ultrasound 1 Transvaginal 2 Transabdominal 3 not indicated in report
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,10,,,10,uf_fetus_count_category,Number of foetuses,भ्रूणों की संख्या,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Singleton; 2: Multiple,1: Singleton; 2: विभिन्न,,"[""single coded option""]",,,,Number of foetuses 1 Singleton 2 Multiple
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,11,,,11,uf_measurement_crown_rump_length_mm,Measurement: Crown-rump length,माप: क्राउन-रंप लंबाई,text,decimal,"{""render_as"":""fixed_width_numeric_boxes""} | inputType=number",,,,,,"[{""type"":""numeric""}]",,,,Measurement: Crown-Rump Length |_|_|_| mm
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,12,,,12,uf_measurement_bi_parietal_diameter_mm,Measurement: Biparietal diameter,माप: द्विपार्श्विक व्यास,text,decimal,"{""render_as"":""fixed_width_numeric_boxes""} | inputType=number",,,,,,"[{""type"":""numeric""}]",,,,Measurement: Bi Parietal Diameter |_|_|_| mm
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,13,,,13,uf_measurement_nuchal_translucency_mm,Measurement: Nuchal translucency,माप: न्यूकल ट्रांसलूसेंसी,text,decimal,"{""render_as"":""fixed_width_numeric_boxes""} | inputType=number",,,,,,"[{""type"":""numeric""}]",,,,Measurement: Nuchal Translucency |_|_|_| mm
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,14,,,14,uf_gestational_age_indicated_ultrasound_report,Gestational age as indicated in ultrasound report,गर्भकालीन आयु जैसा कि अल्ट्रासाउंड रिपोर्ट में दर्शाया गया है,multipletext,integer_group,"{""render_as"":""numeric_textboxes""}",Gestational age as indicated in ultrasound report.,,,,,"[""Gestational age as indicated in ultrasound report.""]",,,,Gestational age as indicated in ultrasound report 1 |_|_| Weeks 2 |_|_| Days
UF,Ultrasound Form,11 MAY 2026,Refs/pretsing forms/ultrasound_form_v2026.05.11.pdf,1,Main form,,15,,,15,uf_edd_by_ultrasound,Expected date of delivery (EDD) by ultrasound dd/mm/yyyy,अल्ट्रासाउंड dd/mm/yyyy द्वारा डिलीवरी की अपेक्षित तिथि (EDD)।,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""dd/mm/yyyy""]",,,,Expected date of delivery (EDD) by ultrasound dd/mm/yyyy
