form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,1,,,1,nff_woman_name,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,2,,,2,nff_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,3,,,3,nff_woman_hh_member_id,Woman's HH member ID automatically filled,Woman's HH member ID automatically filled,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Woman's HH member ID automatically filled
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,4,,,4,nff_woman_permanent_id,Woman's permanent ID automatically filled,Woman's permanent ID automatically filled,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Woman's permanent ID automatically filled
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,5,,,5,nff_pregnancy_id,Pregnancy ID automatically filled,गर्भावस्था आईडी स्वतः भर जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Pregnancy ID automatically filled
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,6,,,6,nff_birth_id,Birth ID Automatically filled from birth assessment form,जन्म मूल्यांकन फॉर्म से जन्म आईडी स्वचालित रूप से भरी जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Birth ID Automatically filled from birth assessment form
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,7,,,7,nff_child_name,Name of child,बच्चे के नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of child
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,8,,,8,nff_interview_date,Date of interview dd/mm/yyyy,साक्षात्कार की तिथि dd/mm/yyyy,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""dd/mm/yyyy""]",,,,Date of interview dd/mm/yyyy
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,9,,,9,nff_visit_type,Type of interview,Type of interview,radiogroup,select_one,"{""render_as"":""radio""}",,,"1: In-person (face to face) at ages: 7d, 28d, 2m, 3m, 6m; 1y: 2 telephonic bi-monthly outside face to face interviews, or if mother is staying outside catchment area","1: व्यक्तिगत रूप से (आमने-सामने) आयु में: 7 दिन, 28 दिन, 2 मिनट, 3 मिनट, 6 मिनट; 1y: 2 टेलीफ़ोनिक द्विमासिक बाहर आमने-सामने साक्षात्कार, या यदि माँ जलग्रहण क्षेत्र से बाहर रह रही हो",,"[""single coded option""]",,,,"Type of interview 1 In-person (face to face) at ages: 7d, 28d, 2m, 3m, 6m, 1y 2 telephonic bi-monthly outside face to face interviews, or if mother is staying outside catchment area"
NFF,Newborn Follow-Up Form,13 MAY 2026,Refs/pretsing forms/newborn_followup_form_v2026.05.13.pdf,1,Newborn follow-up,,10,,,10,nff_round_visit,What round of visit is this?,What round of visit is this?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: 7d; 2: 28d; 3: 2m; 4: 3m; 5: 6m; 6: 1y; 7: Regular bi-monthly visit outside the above times,1: 7 दिन; 2: 28डी; 3: 2मी; 4: 3मी; 5: 6; 6: 1 वर्ष; 7: Regular bi-monthly visit outside the above times,,"[""single coded option""]",,,,What round of visit is this? 1 7d 2 28d 3 2m 4 3m 5 6m 6 1y 7 Regular bi-monthly visit outside the above times
