form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,1,,,1,hhq_site_id,What is the site of residence?,What is the site of residence?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Bareilley; 2: Ballabgarh; 3: Belgavi; 4: Chennai,1: बरेली; 2: बल्लभगढ़; 3: बेलगावी; 4: चेन्नई,,"[""single coded option""]",,,,What is the site of residence? 1 Bareilley 2 Ballabgarh 3 Belgavi 4 Chennai
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,2,,,2,hhq_residence_area_type,Is the household in an urban or rural area?,क्या परिवार शहरी या ग्रामीण क्षेत्र में है?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Urban; 2: Rural,1: शहरी; 2: ग्रामीण,,"[""single coded option""]",,,,Is the household in an urban or rural area? 1 Urban 2 Rural
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,3,,,3,hhq_locality_code,"What is the name and code of the hamlet, village, or colony?","What is the name and code of the hamlet, village, or colony?",radiogroup,select_one,"{""render_as"":""radio""}",Adapt list for each site.,,1: Sunped; 2: Sagarpur; 3: Pehladpur; 4: Deegh,1: Sunped; 2: Sagarpur; 3: Pehladpur; 4: Deegh,,"[""single coded option""]",,,,"What is the name and code of the hamlet, village of 1 Sunped Adapt list for each site colony? 2 Sagarpur 3 Pehladpur 4 Deegh"
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,4,,,4,hhq_structure_map_id,What is the number of the structure on map?,What is the number of the structure on map?,text,integer,"{""render_as"":""numeric_textbox""} | inputType=text",Enter exactly 4 digits from the structure map.,,,,,"[{""type"":""regex"",""regex"":""^[0-9]{4}$"",""text"":{""default"":""Enter exactly 4 digits."",""hi"":"""",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}] | [""Exactly 4 digits.""]",,,,What is the number of the structure on map |_|_|_|_| 4 digits number
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,5,,,6,hhq_household_number,Household number in the structure,Household number in the structure,text,integer,"{""render_as"":""numeric_textbox""} | inputType=text",Enter exactly 2 digits for the household number in the structure.,,,,,"[{""type"":""regex"",""regex"":""^[0-9]{2}$"",""text"":{""default"":""Enter exactly 2 digits."",""hi"":"""",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}] | [""Exactly 2 digits.""]",,,,Household number in the structure |_|_| 2-digits number
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,6,,,7,hhq_household_head_name,Name of Household Head,घर के मुखिया का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of Household Head
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,7,,,8,hhq_household_address,Address of Household,घर का पता,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Address of Household
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,8,,,9,hhq_interview_date,Date of interview,साक्षात्कार की तिथि,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,,,,,Date of interview
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,9,,,10,hhq_consent_study_provide_pis_explain_study_adult_member,Consent for study,Consent for study,radiogroup,select_one,"{""render_as"":""radio""}",Provide PIS and explain study to adult household member(s). End interview if no consent.,,"1: Yes, consent to participate in study; 2: No, do not consent to participate in study","1: Yes, consent to participate in study; 2: No, do not consent to participate in study",,"[""single coded option""]",,,,"Consent for study Provide PIS and explain study to adult member(s) of the 1 Yes, consent to participate in study household , mark whether houshold level consent provided 2 No, do not consent to participate in study End interview"
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,10,,,11,hhq_result_interview,Result of Interview,Result of Interview,radiogroup,select_one,"{""render_as"":""radio""}",,,1: Completed; 2: No household member at home or no competent respondent at home at time of visit; 3: Entire household absent for extended period of time; 4: Postponed; 5: Refused; 6: Dwelling vacant or address not a dwelling; 7: Dweling destroyed; 8: Dwelling not found); 9: Other (specify),1: पूर्ण; 2: मुलाक़ात के समय घर पर कोई घरेलू सदस्य नहीं या घर पर कोई सक्षम प्रतिवादी नहीं; 3: पूरा परिवार लंबे समय तक अनुपस्थित रहा; 4: स्थगित; 5: Refused; 6: आवास खाली है अथवा पता आवास नहीं है; 7: आवास नष्ट हो गया; 8: आवास नहीं मिला); 9: अन्य (बताएँ),,"[""single coded option""]",,,,Result of Interview 1 Completed 2 No household member at home or no competent respondent at home at time of visit 3 Entire household absent for extended period of time 4 Postponed 5 Refused 6 Dwelling vacant or address not a dwelling 7 Dweling destroyed 8 Dwelling not found) 9 Other (specify)
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,10.1,,,11_9_specify,hhq_result_interview_other_specify,Specify other response,अन्य उत्तर निर्दिष्ट करें,text,text_other_specify,"{""render_as"":""input""}",Complete only if Other (specify) is selected.,,,,{hhq_result_interview} = 9,"[{""type"":""text"",""minLength"":1,""maxLength"":120,""text"":{""default"":""Specify the other response."",""hi"":""अन्य उत्तर निर्दिष्ट करें।"",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}]",,,True,Other (specify)
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,11,,,12,hhq_language_questionnaire,Language of questionnaire,Language of questionnaire,radiogroup,select_one,"{""render_as"":""radio""}",Check if list is OK.,,1: Hindi; 2: Kannada; 3: Marathi; 4: Tamil; 5: Telugu; 6: Urdu; 7: English,1: Hindi; 2: Kannada; 3: Marathi; 4: Tamil; 5: Telugu; 6: Urdu; 7: English,,"[""single coded option""]",,,,Language of questionnaire 1 Hindi Check if list is OK 2 Kannada 3 Marathi 4 Tamil 5 Telugu 6 Urdu 7 English
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,1,01-IDENTIFICATION,,12,,,13,hhq_contact_mobile,Mobile number,Mobile number,text,integer,"{""render_as"":""phone_textbox""} | inputType=tel",Mobile number of the head of household or an adult household member. Enter exactly 10 digits.,,,,,"[{""type"":""regex"",""regex"":""^[0-9]{10}$"",""text"":{""default"":""Enter exactly 10 digits."",""hi"":"""",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}] | [""Exactly 10 digits.""]",,,,Mobile number Mobile number of the head of household or of adult member of household
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,2,02-HOUSEHOLD SCHEDULE,,15,,repeat group,,hhq_household_members,Household members,घर के सदस्य,paneldynamic,,,"Now we would like some information about the people who usually live in your household. Please give the names of persons who usually live in your household, starting with the head of the household.",,,,,,,,,
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,2,02-HOUSEHOLD SCHEDULE,,15,hhq_household_members,repeat: hhq_household_members,1_i,member_line_number,Line number,Line number,text,calculated_integer,"{""render_as"":""readonly_calculated_numeric""} | inputType=number | readOnly=True","Auto-filled row number: 1, 2, 3, and so on. Combined with household ID, it represents the household member ID.",,,,,"[{""type"":""numeric"",""minValue"":1,""maxValue"":99}] | [""Auto-incremented within household listing.""]",Panel row index in hhq_household_members plus 1.,True,,Line number Line number of individual I - combined with the household ID should represent the individual ID
HHQ,Baseline Household Questionnaire,9 MAY 2026,Refs/pretsing forms/baseline_household_questionnaire_v2026.05.09.pdf,2,02-HOUSEHOLD SCHEDULE,,16,hhq_household_members,repeat: hhq_household_members,2_i,member_name,Name,Name,text,text,"{""render_as"":""input""}",Usual household member name.,,,,,,,,,"Please give me the names of persons who usually live in your household, starting with the head of the household"
