form_code,form_title,version,source_pdf,section_order,section_title,section_relevance,order,panel_path,repeat_context,source_code,variable_code,label_en,label_hi,type,source_type,appearance,instruction_en,hint_en,choices,choices_hi,relevance,validation,calculation,read_only,required,raw_text
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,1,,,1,cdf_woman_name,Name of woman,महिला का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of woman
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,2,,,2,cdf_husband_name,Name of husband,पति का नाम,text,free_text,"{""render_as"":""input""}",,,,,,,,,,Name of husband
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,3,,,3,cdf_woman_hh_member_id,Woman's HH member ID automatically filled,Woman's HH member ID automatically filled,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Woman's HH member ID automatically filled
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,4,,,4,cdf_woman_permanent_id,Woman's permanent ID automatically filled,Woman's permanent ID automatically filled,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Woman's permanent ID automatically filled
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,5,,,5,cdf_pregnancy_id,Pregnancy ID automatically filled,गर्भावस्था आईडी स्वतः भर जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Pregnancy ID automatically filled
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,6,,,6,cdf_birth_id,Birth ID Automatically filled from birth assessment form,जन्म मूल्यांकन फॉर्म से जन्म आईडी स्वचालित रूप से भरी जाती है,text,text,"{""render_as"":""input"",""readonly"":true} | readOnly=True",,,,,,,,True,,Birth ID Automatically filled from birth assessment form
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,7,,,7,cdf_through_project_tool_death_detected,Through which project tool was the death detected?,Through which project tool was the death detected?,radiogroup,select_one,"{""render_as"":""radio"",""readonly"":true} | readOnly=True",,,"1: Birth assessement form; 2: Newborn follow-up form, in person; 2: Newborn follow-up form, telephonic; 3: Other, specify_____","1: जन्म मूल्यांकन प्रपत्र; 2: नवजात शिशु का अनुवर्ती प्रपत्र, व्यक्तिगत रूप से; 2: नवजात अनुवर्ती प्रपत्र, टेलीफोनिक; 3: अन्य (निर्दिष्ट करे_____",,"[""single coded option""]",,True,,"Through which project tool was the death detected? 1 Birth assessement form Automatically filled 2 Newborn follow-up form, in person Automatically filled 2 Newborn follow-up form, telephonic Automatically filled 3 Other, specify_____"
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,7.1,,,7_3_specify,cdf_through_project_tool_death_detected_other_specify,Specify other response,अन्य उत्तर निर्दिष्ट करें,text,text_other_specify,"{""render_as"":""input""}","Complete only if Other, specify_____ is selected.",,,,{cdf_through_project_tool_death_detected} = 3,"[{""type"":""text"",""minLength"":1,""maxLength"":120,""text"":{""default"":""Specify the other response."",""hi"":""अन्य उत्तर निर्दिष्ट करें।"",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}]",,,True,"Other, specify_____"
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,8,,,8,cdf_interview_take_place,Where did the interview take place?,Where did the interview take place?,radiogroup,select_one,"{""render_as"":""radio""}",,,1: At the mother's home; 2: Telephonic Only applicable for mothers staying outside catchment area at time of death of child,1: माँ के घर पर; 2: Telephonic Only applicable for mothers staying outside catchment area at time of death of child,,"[""single coded option""]",,,,Where did the interview take place? 1 At the mother's home 2 Telephonic Only applicable for mothers staying outside catchment area at time of death of child
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,9,,,9,cdf_interview_date,Date form was completed mm/dd/yyyy,दिनांक फॉर्म पूरा होने की तिथि mm/dd/yyyy है,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""mm/dd/yyyy""]",,,,Date form was completed mm/dd/yyyy
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,10,,,10,cdf_respondent,Who is the respondent?,Who is the respondent?,radiogroup,select_one,"{""render_as"":""radio""}",,,"1: mother of deceased child; 2: father of deceased child; 3: other, specify___","1: mother of deceased child; 2: father of deceased child; 3: other, specify___",,"[""single coded option""]",,,,"Who is the respondent? 1 mother of deceased child 2 father of deceased child 3 other, specify___"
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,10.1,,,10_3_specify,cdf_respondent_other_specify,Specify other response,अन्य उत्तर निर्दिष्ट करें,text,text_other_specify,"{""render_as"":""input""}","Complete only if other, specify___ is selected.",,,,{cdf_respondent} = 3,"[{""type"":""text"",""minLength"":1,""maxLength"":120,""text"":{""default"":""Specify the other response."",""hi"":""अन्य उत्तर निर्दिष्ट करें।"",""kn"":"""",""mr"":"""",""ta"":"""",""te"":"""",""ur"":""""}}]",,,True,"other, specify___"
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,11,,,11,cdf_death_date,Date of death dd/mm/yyyy,मृत्यु की तारीख dd/mm/yyyy,text,date,"{""render_as"":""date_picker""} | inputType=date",,,,,,"[""dd/mm/yyyy""]",,,,Date of death dd/mm/yyyy
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,12,,,12,cdf_death_time,Time of death HH:MM,Time of death HH:MM,text,time,"{""render_as"":""time_input""} | inputType=time",,,,,,"[""HH:MM""]",,,,Time of death HH:MM
CDF,Child Death Form,13 MAY 2026,Refs/pretsing forms/child_death_form_v2026.05.13.pdf,1,Main form,,13,,,13,cdf_child_die,Where did the child die?,Where did the child die?,radiogroup,select_one,"{""render_as"":""radio""}",,,"1: home; 2: facility; 3: in transit to facility; 4: Other, specify______",1: home; 2: facility; 3: in transit to facility; 4: अन्य (निर्दिष्ट करे______,,"[""single coded option""]",,,,"Where did the child die? 1 home SKIP to 14 2 facility 3 in transit to facility SKIP to 14 4 Other, specify______ SKIP to 14"
